Name,Agency,State,Unit_acres,Total_acres,year
Lee Metcalf Wilderness,BLM,MT,6347,242068,1983
Lee Metcalf Wilderness,FS,MT,235721,242068,1983
Paddy Creek Wilderness,FS,MO,7040,7040,1983
Absaroka-Beartooth Wilderness,FS,WY,23694,937032,1984
Alexander Springs Wilderness,FS,FL,7327,7327,1984
Allegheny Islands Wilderness,FS,PA,372,372,1984
Ansel Adams Wilderness,NPS,CA,747,231617,1984
Apache Creek Wilderness,FS,AZ,5633,5633,1984
Aravaipa Canyon Wilderness,BLM,AZ,19410,19410,1984
Ashdown Gorge Wilderness,FS,UT,7085,7085,1984
Badger Creek Wilderness,FS,OR,28915,28915,1984
Bald River Gorge Wilderness,FS,TN,3791,3791,1984
Bear Wallow Wilderness,FS,AZ,11235,11235,1984
Beartown Wilderness,FS,VA,5613,5613,1984
Beaver Dam Mountains Wilderness,BLM,AZ,15000,18667,1984
Beaver Dam Mountains Wilderness,BLM,UT,3667,18667,1984
Big Branch Wilderness,FS,VT,6725,6725,1984
Big Frog Wilderness,FS,GA,136,8480,1984
Big Frog Wilderness,FS,TN,7996,8480,1984
Big Gum Swamp Wilderness,FS,FL,13835,13835,1984
Big Slough Wilderness,FS,TX,3521,3521,1984
Billies Bay Wilderness,FS,FL,3064,3064,1984
Birkhead Mountains Wilderness,FS,NC,5069,5069,1984
Bisti/De-Na-Zin Wilderness,BLM,NM,41170,43420,1984
Black Canyon Wilderness,FS,OR,13088,13088,1984
Black Creek Wilderness,FS,MS,5033,5033,1984
Black Fork Mountain Wilderness,FS,AR,8249,13347,1984
Black Fork Mountain Wilderness,FS,OK,5098,13347,1984
Boulder Creek Wilderness,FS,OR,19918,19918,1984
Boulder River Wilderness,FS,WA,49240,49240,1984
Box-Death Hollow Wilderness,FS,UT,25636,25636,1984
Breadloaf Wilderness,FS,VT,24986,24986,1984
Bridge Creek Wilderness,FS,OR,5337,5337,1984
Buckhorn Wilderness,FS,WA,44270,44270,1984
Bucks Lake Wilderness,FS,CA,23578,23578,1984
Bull of the Woods Wilderness,FS,OR,36878,36878,1984
Carson-Iceberg Wilderness,FS,CA,158070,158070,1984
Castle Crags Wilderness,FS,CA,10609,10609,1984
Castle Creek Wilderness,FS,AZ,25457,25457,1984
Catfish Lake South Wilderness,FS,NC,8491,8491,1984
Cedar Bench Wilderness,FS,AZ,16009,16009,1984
Chanchelulla Wilderness,FS,CA,8062,8062,1984
Citico Creek Wilderness,FS,TN,16213,16213,1984
Clearwater Wilderness,FS,WA,14621,14621,1984
